"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV1082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,33,0,0,0,0
"ASV1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
"ASV1084",6,0,0,0,0,0,58,5,11,0,0,0,0,0,0,0,0,0,72,0,0,15,0,0,0,0,0,0,0,0,0
"ASV1085",0,40,7,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,19,4,0,36,10,0,0,0,38,0,0,0,0
"ASV1086",0,0,11,7,6,0,26,0,0,0,0,0,16,33,0,0,0,0,0,0,16,25,0,27,0,0,0,0,0,0,0
"ASV1087",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,41,0,29,0,35,0,0,36,0,0,0,0,0,0,0,0
"ASV1088",19,0,0,0,0,0,0,0,0,16,0,0,0,0,0,34,57,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"ASV1089",9,4,16,5,0,7,0,8,16,10,6,0,14,0,13,0,0,13,0,4,9,0,0,0,3,0,3,7,4,15,0
"ASV1090",0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,19,35,0,0,0,13,12,13,0,0,0,0,0,0,0,0
"ASV1091",0,0,0,0,0,0,0,0,0,0,34,67,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
"ASV1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,57,0,0,0,0,0,0,0,0,0
"ASV1093",13,0,0,21,14,16,0,0,0,0,0,14,0,25,12,0,0,0,0,13,0,0,0,5,8,15,0,0,9,0,0
"ASV1094",0,0,37,0,0,0,0,0,0,0,0,18,26,0,7,0,0,21,22,13,0,8,0,0,0,0,13,0,0,0,0
"ASV1095",0,0,0,18,0,0,0,0,0,0,0,23,14,21,0,0,0,0,0,19,0,20,0,17,0,15,0,0,18,0,0
"ASV1096",0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
"ASV1097",0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,68,0,0,0,0,56,0,0,0,0,0
"ASV1098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,46,0,0,0,0,0
"ASV1099",42,2,0,0,0,0,19,0,0,0,4,0,0,0,13,0,0,0,68,6,0,0,0,5,0,5,0,0,0,0,0
"ASV1100",90,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
"ASV1101",56,0,0,41,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ASV1102",0,0,0,24,0,0,0,16,0,3,0,0,0,0,0,0,6,0,0,0,24,46,13,0,0,0,0,0,31,0,0
"ASV1103",0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,45,0,0
"ASV1104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,48,0,22,0,62,0,0,0,0,0,0,0
"ASV1105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1106",9,10,0,0,19,0,18,0,0,0,0,0,0,0,0,14,0,0,0,15,15,42,0,0,0,0,0,10,0,10,0
"ASV1107",0,0,30,0,46,13,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,24,0,0
"ASV1108",0,0,0,12,0,5,0,8,0,0,0,16,13,6,7,0,0,31,0,0,0,18,0,8,0,0,27,8,3,0,0
"ASV1109",0,0,0,0,13,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,64,0,0,0,0,38,0,0
"ASV1110",6,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,50,0,0,0,0,0,14,0,16,36,0
"ASV1111",0,7,13,0,5,0,0,0,12,0,0,0,0,5,6,10,15,12,6,8,6,5,17,0,0,0,3,15,7,9,0
"ASV1112",0,0,53,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,22,0,32,23,0,0,0,0,0,19,0,0
"ASV1113",0,0,0,0,0,0,38,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"ASV1114",0,0,0,0,0,0,49,44,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1115",79,0,7,18,0,4,10,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"ASV1116",39,0,74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"ASV1117",15,15,21,0,12,0,0,19,14,0,5,0,0,0,0,0,0,0,3,0,3,13,0,31,0,8,0,0,0,0,0
"ASV1118",0,0,42,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
"ASV1119",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,22,0,15,0,30,0,12,57,0,0,0,0
"ASV1120",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,58,0,0,0,0,34,0,0,34,0,0,16,0,0,0
"ASV1121",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,24,0,0,68,24,0,17,0,0
"ASV1122",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,103,0,10,0,0,0,0,0,33,0
"ASV1123",0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,6,0,16,0,88,0,0,0,0
"ASV1124",0,0,0,32,38,0,0,0,0,0,0,0,0,0,31,35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"ASV1125",0,0,0,0,0,0,0,0,0,0,0,0,28,0,38,0,0,0,0,55,0,0,0,35,0,0,0,0,0,0,0
"ASV1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,97,0,0,0,0,0,0
"ASV1127",13,0,0,10,0,0,12,16,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,18,13,5,0,0,33,0,0
"ASV1128",0,0,0,5,0,39,0,0,0,0,0,16,25,0,0,0,0,8,4,17,12,0,0,8,15,0,0,6,0,0,0
"ASV1129",0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,29,0,0,0,0,0
"ASV1130",0,0,5,0,0,0,3,2,7,0,10,0,0,0,4,0,0,11,0,22,39,0,29,0,0,15,0,0,0,7,0
"ASV1131",0,0,0,0,0,47,0,0,0,0,0,0,52,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1132",0,0,0,0,0,21,42,0,0,0,0,0,0,0,0,0,0,0,39,0,0,52,0,0,0,0,0,0,0,0,0
"ASV1133",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,120,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"ASV1134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
"ASV1135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0
"ASV1136",49,0,0,0,0,27,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,57,0
"ASV1137",5,0,7,0,0,0,14,0,0,0,5,9,6,18,0,0,0,10,0,13,7,0,0,9,0,37,0,0,0,12,0
"ASV1138",0,0,0,54,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"ASV1139",0,0,44,0,0,0,20,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"ASV1140",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
"ASV1141",0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
"ASV1142",0,0,0,0,0,0,85,24,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"ASV1143",0,0,0,0,0,0,39,0,0,0,0,0,18,0,0,0,0,0,0,0,0,48,0,0,46,0,0,0,0,0,0
"ASV1144",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,22,0,0,0,0,0
"ASV1145",17,0,0,0,17,0,0,0,0,0,0,17,0,0,22,0,0,0,0,15,0,35,0,0,0,11,0,0,16,0,0
"ASV1146",13,0,0,0,0,14,43,0,0,0,0,11,0,0,0,0,0,0,14,11,19,0,0,0,0,14,0,0,11,0,0
"ASV1147",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1148",0,0,15,0,11,0,0,0,0,0,0,0,10,0,0,6,0,64,0,0,0,14,0,0,0,0,0,0,9,21,0
"ASV1149",0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,57,14,0,0,0,0,0,0,15,0
"ASV1150",0,0,0,0,32,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
"ASV1151",0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,81,0,0,0,0,0,30,0,0,17,0,0
"ASV1152",0,0,0,0,0,42,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
"ASV1153",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,119,0,0,7,0,0,7,0,0,0,0,0,0,0,0
"ASV1154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,53,0,0,39,0,0,0,0,0,0,0
"ASV1156",149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1157",6,0,13,0,6,4,0,0,3,0,4,10,9,6,6,5,7,0,5,0,7,24,0,10,4,5,4,0,4,7,0
"ASV1158",0,0,36,0,0,0,0,0,0,0,38,0,0,0,0,0,0,35,0,0,0,0,40,0,0,0,0,0,0,0,0
"ASV1159",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,11,0,0,0
"ASV1160",0,0,0,0,0,0,0,0,38,0,0,0,0,0,13,0,0,0,0,41,0,0,0,0,0,0,57,0,0,0,0
"ASV1161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0
"ASV1162",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,6,0,0,16,25,26,0,0,0,0,0,0
"ASV1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0
"ASV1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
"ASV1165",17,26,21,0,0,0,2,0,17,0,21,0,0,0,2,1,0,3,0,0,0,8,0,24,0,0,3,0,1,1,0
"ASV1166",12,0,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,31,9,28,0,0,0,0,0
"ASV1167",4,0,0,0,0,0,9,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,98,0,16,0,0,0,0,0
"ASV1168",0,0,0,16,0,0,0,0,0,11,8,10,0,0,0,0,0,0,0,60,0,0,0,33,0,0,0,0,8,0,0
"ASV1169",0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
"ASV1170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,59,0
"ASV1172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0
"ASV1173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,0,0,0,0,0,0,53,0,0
"ASV1174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0
"ASV1175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0
"ASV1176",0,0,0,3,0,0,45,0,5,0,11,15,0,0,0,0,0,0,23,0,0,0,0,0,0,43,0,0,0,0,0
"ASV1177",0,0,0,0,0,0,15,0,0,0,0,0,0,51,37,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,0
"ASV1178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,7,0,0,0,0,0
"ASV1179",0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
"ASV1180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0
"ASV1181",0,0,14,0,0,0,0,0,0,0,0,29,42,37,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"ASV1182",0,0,0,38,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1183",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0
"ASV1184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1185",40,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,29,0,0,0,0,0,0,0
"ASV1186",0,0,26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,25,0,0,0,52,0,0,0
"ASV1187",0,0,0,0,0,6,55,0,0,0,37,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1188",0,25,0,0,0,0,10,0,13,0,0,0,0,10,0,0,0,0,12,0,0,0,0,12,18,0,0,26,15,0,0
"ASV1189",0,0,10,59,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,30,0,23,0,0,0,0,0,0,0,0,0
"ASV1190",0,0,0,0,0,9,0,0,0,0,0,0,0,44,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0
"ASV1191",0,0,0,0,0,0,23,0,32,0,21,0,0,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0
"ASV1194",34,0,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,0,49,0,0,0,0,0,21,0,0,12,0,0
"ASV1195",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,6,15,0,0,0,20,12,0,0,0,19,18,0,7,0
"ASV1196",0,0,0,0,0,0,0,0,0,0,0,29,72,0,0,0,0,12,0,0,0,21,0,0,0,0,0,0,6,0,0
"ASV1197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,39,0,0
"ASV1198",36,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1199",0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,16,15,17,0,18,22,16,0,0,0,0,0,14,0
"ASV1200",0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
"ASV1201",7,0,0,0,0,0,0,0,1,4,0,2,0,5,11,0,0,5,25,5,1,4,0,0,12,0,49,0,7,0,0
"ASV1202",0,0,46,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,14,0,0,12,0,16,0,14,12,0,0,8,0
"ASV1203",0,0,18,0,0,0,0,0,43,0,0,0,0,0,0,0,54,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"ASV1204",0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0
"ASV1205",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,40,0,0,9,0,0
"ASV1206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,72,0,0,0,11,0,0,21,0,0,0
"ASV1208",31,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,56,0,0,0,0,0,0,5,0,0,27,0,0
"ASV1209",7,0,20,12,8,0,0,0,12,3,6,7,0,6,0,0,0,0,0,0,11,0,0,8,3,15,0,0,6,13,0
"ASV1210",3,2,0,10,0,0,0,0,24,0,8,0,0,5,4,0,0,0,0,44,5,0,0,19,0,8,0,0,0,5,0
"ASV1211",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"ASV1212",52,44,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1213",11,0,0,0,0,0,0,0,0,0,8,15,0,0,44,0,0,0,18,0,8,15,0,0,0,17,0,0,0,0,0
"ASV1214",4,0,19,12,5,0,0,0,0,22,0,7,0,8,0,0,19,12,0,0,8,0,0,0,7,0,0,13,0,0,0
"ASV1215",0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1216",0,0,0,0,38,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1217",0,0,0,0,0,0,118,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,41,57,0,0,0,0,0,0,0
"ASV1219",0,0,52,0,22,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"ASV1220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,49,0,0,0,0,9,0,0,0,0
"ASV1221",134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1222",134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1223",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1224",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"ASV1225",0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,68,43,0,0,0,0,0,0,0,0,0,0,0
"ASV1226",0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1227",12,0,0,12,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,28,7,23,0,0,9,7,0
"ASV1228",0,3,8,0,0,0,0,6,5,9,0,0,0,0,0,12,0,12,0,0,0,0,3,67,0,0,5,0,0,3,0
"ASV1229",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,69,0,0,0,0,0,0,15,0,0
"ASV1230",0,0,0,0,0,0,91,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"ASV1231",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"ASV1232",0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0
"ASV1234",12,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,48,0,13,0,0,0,0,0
"ASV1235",0,0,0,0,0,0,37,0,0,0,17,0,0,16,34,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0
"ASV1236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
"ASV1237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
"ASV1238",0,0,0,0,47,0,13,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0
"ASV1239",0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
"ASV1240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
"ASV1241",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1242",16,0,17,12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,26,7,28,0,0,0,0
"ASV1243",0,11,21,14,0,17,0,0,0,0,0,0,0,0,0,0,17,32,0,7,0,0,0,0,0,0,0,11,0,0,0
"ASV1244",0,0,0,0,0,0,0,0,0,0,8,44,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1245",0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
"ASV1246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,35,0,0,0,0,0,0,0
"ASV1248",9,0,0,0,9,21,0,0,0,0,0,8,16,18,0,15,0,6,0,0,0,23,0,0,0,0,0,0,0,4,0
"ASV1249",0,0,9,0,0,0,0,0,0,0,0,11,0,47,0,0,0,0,0,0,24,0,0,38,0,0,0,0,0,0,0
"ASV1250",0,0,0,18,0,0,0,0,0,0,40,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"ASV1251",0,0,0,0,17,0,0,0,18,0,0,18,0,0,0,0,0,0,19,0,0,0,0,51,6,0,0,0,0,0,0
"ASV1252",0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,42,0,0,0,0
"ASV1253",0,0,0,0,0,0,0,0,59,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1254",0,0,0,0,0,0,0,0,18,27,16,0,0,0,0,0,0,0,19,0,0,0,0,0,0,49,0,0,0,0,0
"ASV1255",0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,18,21,0,23,0,0,26,0,0,0,0,13,0
"ASV1256",6,0,0,0,0,45,0,0,0,0,0,0,0,14,0,0,0,0,0,0,32,0,0,0,0,0,8,0,17,6,0
"ASV1257",0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"ASV1258",0,0,0,0,32,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1259",0,0,0,0,0,0,35,38,20,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1260",0,0,0,0,0,0,0,0,0,0,38,0,39,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"ASV1261",0,0,0,0,0,0,0,0,0,0,0,18,88,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"ASV1262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1263",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,13,0,0,0,0,0,0,0
"ASV1264",0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,27,0,0,0,0,0,0,26,0,0
"ASV1265",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,31,10,0,0,0,0,0
"ASV1266",0,0,0,0,0,0,0,0,0,0,0,22,0,0,54,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
"ASV1267",23,20,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"ASV1268",0,10,0,0,15,12,0,6,0,0,0,0,0,17,8,0,0,0,5,0,0,15,8,0,0,0,0,30,0,0,0
"ASV1269",0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1270",0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,38,0,0,0,47,0,0,0,0,0,0,0,0,0,0
"ASV1271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,45,0,40,0,16,0,0,0,0,0
"ASV1272",0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1273",0,0,107,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1274",0,0,23,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,23,0
"ASV1275",0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,7,0,0,21,0,0,0,0,0,0,4,15,29,0,0,0
"ASV1276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,28,0,0,0,77,0,0,13,0,0,0,0,0
"ASV1277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0
"ASV1278",0,43,0,0,14,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"ASV1279",0,4,0,12,9,18,0,0,0,0,0,0,3,0,0,0,0,41,9,8,0,3,0,0,9,8,0,0,0,0,0
"ASV1280",0,0,0,19,10,0,0,0,9,0,0,0,0,0,0,16,0,0,0,25,0,0,33,0,0,0,0,12,0,0,0
"ASV1281",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,35,0,0,0,0,0,0
