"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV21",147,720,237,233,826,594,112,327,127,165,106,280,470,162,136,409,359,255,165,504,561,1751,365,146,681,197,833,478,280,106,0
"ASV22",471,548,336,618,407,150,0,259,261,249,251,551,959,281,226,192,94,397,103,243,320,760,885,272,199,224,901,192,316,364,0
"ASV23",137,423,159,194,1063,70,0,157,47,184,53,613,701,0,184,0,69,230,529,153,489,2545,923,127,0,87,468,829,351,47,0
"ASV24",177,347,220,149,377,93,0,181,51,125,0,480,623,43,223,40,56,252,322,180,483,3463,1442,72,57,70,505,137,431,35,0
"ASV25",0,1431,293,1121,355,784,0,120,0,0,0,96,271,124,0,198,270,91,146,226,545,884,142,59,1345,0,969,68,780,0,0
"ASV26",986,97,142,752,783,1186,136,135,333,0,184,334,424,114,234,542,0,0,53,578,705,518,64,361,327,748,102,0,240,41,0
"ASV27",400,102,310,112,698,448,209,184,415,200,515,440,673,1291,339,0,0,46,200,458,845,432,24,57,182,241,0,228,232,359,0
"ASV28",0,602,206,788,8,121,42,315,226,125,421,181,217,11,95,163,358,348,45,254,8,29,838,116,64,136,1476,34,1249,649,0
"ASV29",313,175,44,31,12,109,296,0,256,109,259,379,376,162,775,216,0,285,1871,138,54,451,45,98,533,219,1379,185,86,156,0
"ASV30",51,0,1315,540,0,0,163,370,0,56,849,423,195,1645,1409,0,0,0,0,75,0,0,158,96,0,646,0,0,57,750,0
"ASV31",460,536,29,1042,525,783,109,126,19,0,10,179,209,116,16,0,0,0,178,785,521,1181,78,64,391,444,382,62,231,131,0
"ASV32",496,291,263,259,174,156,434,138,202,258,279,444,350,422,414,277,0,85,228,279,458,413,86,1113,183,214,156,29,158,320,0
"ASV33",239,42,243,527,483,226,0,88,235,46,372,221,346,286,239,23,41,188,757,71,755,318,199,530,296,695,299,51,443,308,0
"ASV34",281,118,533,325,125,211,109,148,334,355,317,388,253,189,705,73,606,667,116,156,232,255,340,275,106,77,114,116,133,356,0
"ASV35",95,90,197,250,90,119,34,64,172,41,244,269,553,67,343,0,41,384,330,229,493,1322,1136,165,135,277,149,0,285,233,0
"ASV36",222,158,178,1977,101,416,74,44,215,33,265,153,166,59,193,77,12,409,379,164,513,423,165,137,204,265,30,95,229,230,0
"ASV37",168,106,8,14,13,138,255,0,193,95,392,568,301,273,751,263,21,406,1207,134,24,373,22,46,337,248,885,128,31,60,0
"ASV38",373,104,383,462,102,151,15,142,54,31,310,316,496,86,102,0,114,92,509,120,572,305,756,223,164,536,223,103,183,179,0
"ASV39",370,338,231,196,257,238,316,130,96,91,96,172,289,138,154,281,254,318,75,209,256,826,157,295,317,198,208,231,230,170,0
"ASV40",232,239,456,200,126,216,67,175,435,156,323,298,301,203,522,0,0,157,146,351,366,640,217,263,55,230,72,148,174,251,0
"ASV41",600,224,356,402,187,0,104,78,121,154,220,304,182,62,238,0,0,234,255,276,273,959,73,181,251,47,352,366,66,240,0
"ASV42",124,545,215,194,148,0,48,649,52,40,140,205,105,445,77,47,0,118,258,147,227,1311,272,228,176,74,506,0,178,203,0
"ASV43",192,269,341,250,203,311,60,70,85,104,100,166,315,175,28,216,174,769,40,66,165,547,251,127,135,46,316,680,159,176,0
"ASV44",157,98,0,0,460,0,354,0,65,0,61,112,52,0,191,175,0,0,199,530,1431,1379,0,0,328,328,0,0,156,453,0
"ASV45",798,469,181,455,102,115,0,67,292,47,121,27,60,561,35,176,113,214,62,246,445,523,125,0,240,208,247,156,68,234,0
"ASV46",339,16,281,107,0,9,125,66,443,134,176,321,132,1485,805,0,0,0,0,329,41,45,34,186,45,739,0,0,135,287,0
"ASV47",157,388,124,93,163,214,263,106,66,216,121,264,494,210,575,277,133,163,240,151,200,226,39,269,219,126,322,69,326,65,0
"ASV48",235,144,391,200,106,139,71,120,281,280,218,258,229,163,562,45,541,487,99,145,170,142,220,170,106,123,100,86,123,282,0
