"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV57","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV58","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"ASV59","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fournierella",NA
"ASV60","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter",NA
"ASV61","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV62","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera",NA
"ASV63","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA
"ASV64","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"ASV65","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002",NA
"ASV66","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",NA
"ASV67","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"ASV68","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV69","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV70","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV71","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"ASV72","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV73","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA
"ASV74","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV75","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",NA
"ASV76","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"ASV77","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV78","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"ASV79","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA
"ASV80","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003",NA
"ASV81","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera",NA
"ASV82","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA
"ASV83","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV84","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV85","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV86","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV87","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002",NA
"ASV88","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV89","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV90","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002",NA
"ASV91","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","succinatutens"
"ASV92","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","copri"
"ASV93","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV94","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1",NA
"ASV95","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV96","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_XPB1014_group",NA
"ASV97","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","inulinivorans"
"ASV98","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV99","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_2",NA
"ASV100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter","saccharivorans"
"ASV101","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","mitsuokai"
"ASV102","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"ASV103","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005",NA
"ASV104","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA
"ASV105","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"ASV106","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV107","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","bacterium"
"ASV108","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"ASV109","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","longicatena"
"ASV110","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
